producto_normalizado,marketplace,url_producto,titulo_detectado,imagen_url,imagen_local,estado_extraccion
Laptop Chuwi GemiBook XPro,Mercado Libre,https://www.mercadolibre.com.mx/laptop-chuwi-gemibook-xpro-gris-14-intel-n100-8gb-de-ram-256gb-ssd-intel-uhd-graphics-60-hz-1920x1080px-windows-11-home/p/MLM26203792,Notebook Chuwi Gemibook Xpro Gris 14&amp;amp;quot&amp;amp;quot Intel N100 8gb De Ram Lpddr5 256gb Ssd 1920x1080px Windows 11 Home,https://http2.mlstatic.com/D_NQ_NP_984434-MLU77075165998_062024-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\laptop-chuwi-gemibook-xpro.jpg,ok
Botella boca ancha polietileno ámbar 1000 ml,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-1859914833-botella-boca-ancha-de-polietileno-ambar-de-1000-ml-2-piezas-_JM,Botella Boca Ancha De Polietileno Ambar De 1000 Ml 2 Piezas - $ 520,https://http2.mlstatic.com/D_NQ_NP_994147-MLM54363471490_032023-O-botella-boca-ancha-de-polietileno-ambar-de-1000-ml-2-piezas.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\botella-boca-ancha-polietileno-mbar-1000-ml.jpg,ok
Botella boca ancha polietileno ámbar 250 ml,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-1905757434-botella-boca-ancha-de-polietileno-ambar-de-250-ml-_JM,Botella Boca Ancha De Polietileno Ambar De 250 Ml - $ 135,https://http2.mlstatic.com/D_NQ_NP_994147-MLM54363471490_032023-O-botella-boca-ancha-de-polietileno-ambar-de-250-ml.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\botella-boca-ancha-polietileno-mbar-250-ml.jpg,ok
Escritorio AFA Muebles Miletto,Mercado Libre,https://www.mercadolibre.com.mx/escritorio-afa-muebles-miletto-2e-melamina-de-120cm-x-75cm-x-120cm-blanco/p/MLM18717142,Escritorio AFA Muebles Miletto 2E melamina de 120cm x 75cm x 120cm blanco Mate,https://http2.mlstatic.com/D_NQ_NP_837040-MLA48851676034_012022-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\escritorio-afa-muebles-miletto.jpg,ok
Silla de escritorio blanca,Mercado Libre,https://www.mercadolibre.com.mx/silla-de-escritorio-moblux-oficina-blanca-con-tapizado-de-poliuretano/p/MLM25927406,Silla de escritorio Moblux Oficina blanca con tapizado de poliuretano,https://http2.mlstatic.com/D_NQ_NP_607400-MLA74805961473_022024-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\silla-de-escritorio-blanca.jpg,ok
Antena adaptador USB WiFi 300 Mbps,Mercado Libre,https://www.mercadolibre.com.mx/antena-adaptador-usb-wifi-300-mdps-80211-bgn/p/MLM29212963,Antena Adaptador Usb Wifi 300 Mdps 802.11 B/g/n,https://http2.mlstatic.com/D_NQ_NP_771933-MLU73480818702_122023-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\antena-adaptador-usb-wifi-300-mbps.jpg,ok
Termohigrómetro digital HTC-1,Mercado Libre,https://www.mercadolibre.com.mx/termohigrometro-digital-htc-1-higrometro-termometro-reloj/p/MLM25847568,"Termohigrómetro Digital Htc-1 Higrometro, Termometro, Reloj",https://http2.mlstatic.com/D_NQ_NP_708555-MLU70919200549_082023-O.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\termohigr-metro-digital-htc-1.jpg,ok
Higrómetro digital termómetro despertador,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-838450159-higrometro-digital-termometro-higrometro-despertador-_JM,Higrómetro Digital Termómetro Higrómetro Despertador - $ 99.61,https://http2.mlstatic.com/D_NQ_NP_829954-MLM77556559284_072024-O-higrometro-digital-termometro-higrometro-despertador.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\higr-metro-digital-term-metro-despertador.jpg,ok
Centrífuga para laboratorio,Amazon,https://www.amazon.com.mx/Centrifuga-para-laboratorio-timer-tubos/dp/B0812BDQ7B,"Onof CFG-03 Centrífuga para Laboratorio con Temporizador | Capacidad 12 Tubos de 20 ml | Velocidad Máx. 4000 RPM | Equipo de Uso Clínico y Educativo : Amazon.com.mx: Industria, Empresas y Ciencia",https://m.media-amazon.com/images/I/61eU7aFqBwL._SL1500_.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\centr-fuga-para-laboratorio.jpg,ok
Carro de servicio con ruedas,Mercado Libre,https://articulo.mercadolibre.com.mx/MLM-958499623-original-tubstr-xl-carro-de-exterior-con-ruedas-resistentes-_JM,"Original Tubstr Xl Carro De Exterior Con Ruedas Resistentes - $ 14,417.78",https://http2.mlstatic.com/D_NQ_NP_897904-MLM92914781710_092025-O-original-tubstr-xl-carro-de-exterior-con-ruedas-resistentes.jpg,C:\Users\Admin\Desktop\ia\odoo\outputs\marketplace_catalogo\imagenes\carro-de-servicio-con-ruedas.jpg,ok
